"filename", "language", "XML", "C#", "JSON", "Properties", "HTML", "Markdown", "MS SQL", "comment", "blank", "total"
"c:\Users\herma\source\repos\SistemaVenta\App\packages\SixLabors.Fonts.1.0.0\lib\netstandard2.0\SixLabors.Fonts.xml", "XML", 11499, 0, 0, 0, 0, 0, 0, 0, 1, 11500
"c:\Users\herma\source\repos\SistemaVenta\App\packages\SixLabors.Fonts.1.0.0\lib\netstandard2.1\SixLabors.Fonts.xml", "XML", 11311, 0, 0, 0, 0, 0, 0, 0, 1, 11312
"c:\Users\herma\source\repos\SistemaVenta\App\packages\System.Buffers.4.5.1\lib\net461\System.Buffers.xml", "XML", 38, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\Users\herma\source\repos\SistemaVenta\App\packages\System.Buffers.4.5.1\lib\netstandard1.1\System.Buffers.xml", "XML", 38, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\Users\herma\source\repos\SistemaVenta\App\packages\System.Buffers.4.5.1\lib\netstandard2.0\System.Buffers.xml", "XML", 38, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\Users\herma\source\repos\SistemaVenta\App\packages\System.Buffers.4.5.1\ref\net45\System.Buffers.xml", "XML", 38, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\Users\herma\source\repos\SistemaVenta\App\packages\System.Buffers.4.5.1\ref\netstandard1.1\System.Buffers.xml", "XML", 38, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\Users\herma\source\repos\SistemaVenta\App\packages\System.Buffers.4.5.1\ref\netstandard2.0\System.Buffers.xml", "XML", 38, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\Users\herma\source\repos\SistemaVenta\App\packages\System.IO.4.3.0\ref\netcore50\System.IO.xml", "XML", 2151, 0, 0, 0, 0, 0, 0, 0, 0, 2151
"c:\Users\herma\source\repos\SistemaVenta\App\packages\System.IO.4.3.0\ref\netcore50\de\System.IO.xml", "XML", 2151, 0, 0, 0, 0, 0, 0, 0, 0, 2151
"c:\Users\herma\source\repos\SistemaVenta\App\packages\System.IO.4.3.0\ref\netcore50\es\System.IO.xml", "XML", 2090, 0, 0, 0, 0, 0, 0, 0, 0, 2090
"c:\Users\herma\source\repos\SistemaVenta\App\packages\System.IO.4.3.0\ref\netcore50\fr\System.IO.xml", "XML", 2201, 0, 0, 0, 0, 0, 0, 0, 0, 2201
"c:\Users\herma\source\repos\SistemaVenta\App\packages\System.IO.4.3.0\ref\netcore50\it\System.IO.xml", "XML", 2123, 0, 0, 0, 0, 0, 0, 0, 0, 2123
"c:\Users\herma\source\repos\SistemaVenta\App\packages\System.IO.4.3.0\ref\netcore50\ja\System.IO.xml", "XML", 2264, 0, 0, 0, 0, 0, 0, 0, 0, 2264
"c:\Users\herma\source\repos\SistemaVenta\App\packages\System.IO.4.3.0\ref\netcore50\ko\System.IO.xml", "XML", 2262, 0, 0, 0, 0, 0, 0, 0, 0, 2262
"c:\Users\herma\source\repos\SistemaVenta\App\packages\System.IO.4.3.0\ref\netcore50\ru\System.IO.xml", "XML", 2023, 0, 0, 0, 0, 0, 0, 0, 0, 2023
"c:\Users\herma\source\repos\SistemaVenta\App\packages\System.IO.4.3.0\ref\netcore50\zh-hans\System.IO.xml", "XML", 2237, 0, 0, 0, 0, 0, 0, 0, 0, 2237
"c:\Users\herma\source\repos\SistemaVenta\App\packages\System.IO.4.3.0\ref\netcore50\zh-hant\System.IO.xml", "XML", 2246, 0, 0, 0, 0, 0, 0, 0, 0, 2246
